likes	shares	content	score	comparative	total
0	1	An apology... LOL Imagine the uproar/change in tone if it were a  factory! And  wants to “lead a sustainable r…	1	0.047619047619047616	0.047619047619047616
0	1	for the love brother! 😘 RIP💀    🙏	8	1.1428571428571428	1.1428571428571428
0	0	Would you happen to know if history repeats or rhymes Should we ask    Or confirm…	0	0	0
0	1	Attention to every detail is jus…	0	0	0
0	2	Nothing comes close to the Cybertruck Tri Motor. RIP Diesel.	0	0	0
0	1	Moved to new home at  Cres (a bit thanks to  in beautiful Town of East Gwillimbury  What…	5	0.29411764705882354	0.29411764705882354
0	1	Earl.  Our mission is to reach those mislead by the bad actors. The bad actors know the actual truth abo…	-8	-0.4	-0.4
0	1	That’s transparency! Also, how is EVERY ANALYST (even maybe Ark?) completely not factoring in CAR INSURANCE from	0	0	0
0	1	Congrats  on making the 1M pack! Here’s to the next 10M!!  🤑	2	0.16666666666666666	0.16666666666666666
7	0	&amp;  achievements are astonishing. Ask Dyson.	0	0	0
1	0	Unlocked all the levels if  is a game and now playing in God-mode  🤣! It’s just matter of months t…	1	0.05	0.05
0	101	If  builds its own fleet of 100 million robotaxis.And each  makes  profit a year.That’s  in pr…	2	0.1111111111111111	11.222222222222221
0	0	This Luxury Space Balloon Lets You Glide 100,000 Feet Above the Earth With a Cocktail in Hand…	2	0.1111111111111111	0.1111111111111111
1	0	Always leading the way  ! “First they ignore you, then they laugh at you, then they fight you, the…	1	0.05555555555555555	0.05555555555555555
3	0	Insane things ahead so great to see the truth finally 📈🚀🌗	1	0.09090909090909091	0.2727272727272727
0	0	2023 Mercedes-AMG EQS Has Tesla in Its Sights	0	0	0
0	1	Ingenuity Is So Good, NASA's Mars Helicopter Mission Just Got an Exciting Update	6	0.46153846153846156	0.46153846153846156
0	1	Sunday Times taking jabs at my Bro 😂 . My bro will have the last laugh 😂. In Two Weeks 😉. Tesla Will win the self driv…	9	0.34615384615384615	0.34615384615384615
0	181	I'm often asked why I'm critical of  /  and  and how that fits with my investment in and advocacy for…	0	0	0
0	1	Tesla CEO tweets about Entropy coin, creates frenzy | Cryptopolitan	-3	-0.3	-0.3
0	1	Experimental chlorine battery holds 6 times more charge than lithium-ion	0	0	0
0	156	Edmunds: “Hayabusa? Kawasaki Ninja? You’ll need something even faster. The  Model S Plaid is quick enough to defeat any…	-2	-0.10526315789473684	-16.421052631578945
0	1	China's Zhurong Mars rover returns panorama ahead of planetary blackout	0	0	0
1	1	China's Zhurong Mars rover returns panorama ahead of planetary blackout	0	0	0
1	1	Experimental chlorine battery holds 6 times more charge than lithium-ion	0	0	0
1	1	Tesla CEO tweets about Entropy coin, creates frenzy | Cryptopolitan	-3	-0.3	-0.6
2	1	Sunday Times taking jabs at my Bro 😂 . My bro will have the last laugh 😂. In Two Weeks 😉. Tesla Will win the self d…	9	0.34615384615384615	1.0384615384615383
